Will you book again;Missing information?;Why won't you booking again? (category);Why won't you book again? (other);Why book again? (category);Why book again? (other);
Maybe;;;;;;
Yes;;;;user-friendliness,offer;;
Yes;;;;offer;;
Maybe;;;;user-friendliness;;
Maybe;;;;user-friendliness;;
No;La gare de départ est changée de Bruxelles Midi à Bruxelles Nord et SNCB n’a m’a pas averti! Moi, j’ai risqué de perdre le train!;before-travel;;;;
Yes;;;;user-friendliness;;
Yes;;;;offer;;
Yes;;;;;;
Maybe;;;;user-friendliness;;
Yes;;;;user-friendliness,offer;;
Yes;;;;user-friendliness,offer;Voor reizen buiten België ;
Maybe;;;;;;
Yes;;;;user-friendliness;;
Yes;;;;offer;;
No;;;;;;
No;;customer-support;;;;
Maybe;;;;user-friendliness;;
Yes;;;;user-friendliness;;
Maybe;;;;user-friendliness;;
Yes;;;;user-friendliness;;
Yes;;;;offer;;
Yes;;;;;;
Maybe;;;;;Vu notre âge c'est plus sécurisant qu'en voiture.;
Yes;;;;user-friendliness;;
Yes;;;;offer;;
Yes;;;;offer;;
Maybe;;;;;Deutche banh a un meilleur interface pour le service clientèle je ne peux répondre car j ai eu une annulation de train et j attends le traitement de ma plainte ;
Yes;;;;user-friendliness;;
Yes;;;;user-friendliness,offer;;
No;;;Prix tré élevé ;;;
Yes;;;;user-friendliness;;
Maybe;;;;user-friendliness;;
Maybe;;;;;;
Yes;;;;user-friendliness;;
Yes;;;;user-friendliness,offer;;
Yes;;;;user-friendliness;;
Maybe;;;;;;
Maybe;;;;;Ai-je vraiment le choix ?;
Yes;;;;user-friendliness,offer;;
Maybe;;;;user-friendliness;;
Yes;;;;user-friendliness,offer;;
Yes;;;;offer;;
Yes;;;;user-friendliness;;
Yes;;;;user-friendliness,offer;;
Yes;;;;user-friendliness,offer;;
Yes;;;;user-friendliness,offer;;
Yes;;;;;Geen andere optie;
Yes;;;;user-friendliness;;
No;;;;;;
Maybe;;;;;er zijn niet veel andere opties;
Yes;;;;user-friendliness;;
Yes;;;;offer;;
Maybe;;;;;;
Yes;;;;user-friendliness,offer;;
Yes;;;;user-friendliness,offer;;
Maybe;;;;;;
Yes;;;;user-friendliness,offer,customer-support;;
Maybe;;;;;;
Yes;;;;offer;;
Maybe;;;;;pas de voiture;
Yes;;;;user-friendliness;;
Yes;;;;user-friendliness,offer;;
Yes;;;;offer;;
Maybe;;;;;;
Yes;;;;;pour éviter la voiture;
Yes;;;;;er zijn niet veel alternatieven;
Yes;;;;user-friendliness;;
Maybe;;;;user-friendliness;;
Maybe;;;;;;
Yes;;;;user-friendliness;;
Maybe;;;;offer;;
Maybe;;;;user-friendliness;;
Yes;;;;user-friendliness;;
Yes;;;;;;
Yes;;;;user-friendliness;;
No;;;Veel te veel vertraging waardoor een volgende trein gemist werd.;;;
Yes;;;;offer;;
Yes;;;;user-friendliness;;
No;;;The train was crowded and we had no seats to sit on. Plenty of room in first class but we were denied to sit there;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;user-friendliness,offer;;
No;;;Difficulté pour avoir un train et pas d’explication de la part du personnel. Grève ??;;;
Yes;;;;offer;;
Yes;;;;user-friendliness;;
Yes;;;;offer;;
Yes;;;;user-friendliness,offer,customer-support;;
Yes;;;;offer;;
Maybe;;;;;Een geenreis is normaal circa 2u30, woensdag ben ik van Valenciennes vertrokken om 14u05 en Gent Dampoort aangekomen 17u45!!! Ongehoord 4 treinen voor maar 125km!!!;
Yes;;;;user-friendliness;;
Yes;;;;;Omdat het de meest efficiënte manier is om jullie monopolie te gebruiken;
Yes;;;;user-friendliness;;
Yes;;;;user-friendliness;;
Yes;;;;user-friendliness,offer;;
Yes;;;;user-friendliness,offer;;
Yes;;;;user-friendliness;;
Maybe;;;;user-friendliness;;
Yes;;;;user-friendliness,offer;;
Yes;;;;user-friendliness,offer;;
Yes;;;;user-friendliness;;
Yes;;;;offer;;
Yes;;;;user-friendliness;;
Yes;;;;user-friendliness;;
Yes;;;;;;
Yes;;;;offer,customer-support;;
No;;booking;;;;
Yes;;;;user-friendliness;;
Maybe;;;;user-friendliness;;
Maybe;;;;user-friendliness;;
Yes;;;;user-friendliness;;
Yes;;;;;Pas d'autres choix ;
Maybe;;;;offer;;
Maybe;;;;;;
Yes;;;;user-friendliness;;
Yes;;;;offer;;
No;;;Des frais supplémentaires suites à des grèves ;;;
Yes;;;;;;
Yes;;;;offer;;
Yes;;;;offer;;
Maybe;;;;user-friendliness,offer;;
Yes;;;;;;
Maybe;;;;user-friendliness;;
No;;;;;;
Maybe;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Maybe;;;;;;
Yes;;;;offer;;
Yes;;;;user-friendliness,offer,customer-support;;
Yes;;;;;;
Yes;;;;offer;;
Yes;;;;user-friendliness;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;user-friendliness;;
Yes;;;;user-friendliness,offer;;
Yes;;;;user-friendliness,offer,customer-support;;
Yes;;;;user-friendliness,offer;;
Yes;;;;user-friendliness;;
No;;;;;;
Yes;;;;;;
Maybe;;;;;;
Maybe;;;;;a condition que les trains ne soient pas annulés, comme les 2 trains A/R que j'avais payés et annulés tous les 2 ( compagnie ICE);
Maybe;;;;user-friendliness;;
Yes;;;;user-friendliness;;
Yes;;;;;Par habitude;
Maybe;;;;user-friendliness;;
Yes;;;;user-friendliness;;
Yes;;;;user-friendliness;;
Yes;;;;;rapidité ;
Yes;;;;user-friendliness,offer;;
Yes;;;;user-friendliness;;
Maybe;;;;;;
Maybe;;;;offer;;
Yes;;;;user-friendliness;;
Maybe;;;;;Côté écologique, pas de parking à payer;
Yes;;;;user-friendliness;;
Yes;;;;user-friendliness,offer,customer-support;;
Yes;;;;offer;;
No;;;;;;
Yes;;;;user-friendliness;;
Maybe;;;;user-friendliness;;
Yes;;;;;Only train in be;
Maybe;;;;user-friendliness;;
Yes;;;;user-friendliness;;
Yes;;;;user-friendliness;;
Yes;;;;user-friendliness,offer;;
Maybe;;;;user-friendliness;;
Yes;;;;user-friendliness,offer;;
Yes;;;;offer;;
Yes;;;;user-friendliness,offer;;
Yes;;;;user-friendliness;;
No;;;Visiblement, le programme n'a pas tenu compte du fait que j'étais agent avec FIP, je n'ai donc pas bénéficié des 50%;;;
Yes;;;;user-friendliness;;
Yes;;;;;;
Yes;;;;user-friendliness;;
Yes;;;;offer;;
No;;;;;;
Maybe;;;;user-friendliness;;
Yes;;;;offer;;
Yes;;;;user-friendliness,offer;;
Yes;;;;user-friendliness,offer;Car c'est mon seul choix de type transports pour aller à Anvers depuis la France ;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;user-friendliness;;
Maybe;;;;user-friendliness;;
No;;;Le train Courtrai Lille est tombé en pane;;;
Yes;;;;user-friendliness;;
Yes;;;;user-friendliness;;
Yes;;;;user-friendliness,offer;;
Yes;;;;user-friendliness,offer;;
Yes;;;;user-friendliness;;
No;;;problemen met thalys op 22.12.2022;;;
Maybe;;;;user-friendliness;;
Yes;;;;;ça permet de réserver des trains en Belgique, France et Allemagne;
Yes;;;;user-friendliness;;
Yes;;;;user-friendliness,offer;;
Yes;;;;offer;;
No;;;Train is dirty and smells bad;;;
Yes;;;;offer;;
Yes;;;;customer-support;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;user-friendliness;;
Yes;;;;user-friendliness;mais le problème des grèves doit être règlé;
Maybe;;;;user-friendliness;;
Yes;;;;user-friendliness;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;user-friendliness;;
Maybe;;;;;;
Yes;;;;user-friendliness;;
Maybe;;;;user-friendliness;;
Yes;;;;user-friendliness;;
Yes;;;;user-friendliness;;
No;;;Treinen vertraging, afgelast, wagons die er niet aanhangen, toiletten niet bruikbaar, geen restauratiewagen(was er niet), vuile oude treinen…spijtig want we reizen graag met de trein!;;;
Yes;;;;user-friendliness;;
Yes;;;;;;
Yes;;;;;Als 65+ kan ik via uw site met korting reizen. Met de Nederlandse site betaal ik volle prijs;
No;De b-Europe info kwam niet overeen met wat er in de NMBS app en op de infoborden in het station van Antwerpen-Centraal stond. 1 trein was zogezegd afgeschaft, maar reed tochten naar Rotterdam. ;booking,before-travel;;;;
Maybe;;;;user-friendliness;;
Yes;;;;offer;;
No;;;This was an awful trip, missed trains and delays above one hour!;;;
Yes;;;;offer;;
Maybe;;;;;;
Yes;;;;user-friendliness,offer;Le confort;
Maybe;;;;user-friendliness;;
Maybe;;;;user-friendliness;I do am waiting for a reply on my refund as the originally booked train was cancelled and I had to buy an additional ticket. Thank you.;
Maybe;;;;offer;;
Yes;;;;user-friendliness;;
Yes;;;;;;
No;;;Pourquoi faire deux applications différentes. Utilisation assez complexe. ;;;
Yes;;;;user-friendliness,offer;;
Maybe;;;;;Pas de places assises et trop chers a  la derniere minute ;
Yes;;;;user-friendliness;;
Yes;;;;user-friendliness,offer,customer-support;;
Maybe;;;;offer;;
Maybe;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;user-friendliness;;
Yes;;;;user-friendliness;;
Yes;;;;user-friendliness;;
Yes;;;;user-friendliness,offer;;
Maybe;;;;;manque de place pour les bagages et suis revenu avec une grippe carabinée!;
Maybe;;;;;;
No;;;Retard de 2h au retour;;;
Yes;;;;user-friendliness;;
Yes;;;;user-friendliness,offer;J'aime les trains;
Maybe;;;;;;
Yes;;;;;;
Yes;;;;user-friendliness;;
Yes;;;;;zo veel alternatief is er niet;
Yes;;;;offer;;
Yes;;;;;OMDAT HET SUSTAINABLE VERVOER IS DE THALYS IS SNEL;
Maybe;;;;offer;;
No;;;;;;
Maybe;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;user-friendliness;;
Yes;;;;user-friendliness;;
Maybe;;;;;bij het vertrek was de trein afgeschaft, de info die werd omgeroepen over andere treinen was foutief;
No;Door vertraging aansluitingen niet kunnen halen en er wordt geen oplossing aangeboden en de klantendienst is niet bereikbaar.                        ;customer-support,before-travel;;;;
Maybe;;;;offer;;
Yes;;;;user-friendliness;;
Maybe;;;;;;
Yes;;;;user-friendliness,offer;;
Maybe;;;;;;
Yes;;;;user-friendliness,offer;;
Yes;;;;user-friendliness,offer;;
Maybe;;;;user-friendliness;;
Yes;;;;user-friendliness;;
Yes;;;;user-friendliness;;
Yes;;;;user-friendliness,offer;;
Yes;;;;offer;;
Yes;;;;user-friendliness;;
Maybe;;;;;;
Yes;;;;user-friendliness;;
Yes;;;;offer;;
No;;;Trop de gens a bord du train, il faut des trains plus long a partir d'Anvers central;;;
Yes;;;;;;
No;;;Grève de l’euro star le 26/12/22 ayant annulé le voyage ;;;
Maybe;;;;offer;;
Yes;;;;offer;;
Yes;;;;user-friendliness,offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;;;
Yes;;;;user-friendliness,offer;;
Yes;;;;offer;;
Yes;;;;user-friendliness,offer;;
Yes;;;;user-friendliness,offer;;
Maybe;;;;user-friendliness;;
No;;;;;;
Yes;;;;;;
Maybe;;;;;;
Maybe;;;;customer-support;;
No;;;Expensive and train delayed ;;;
Maybe;;;;user-friendliness;;
Yes;;;;user-friendliness;;
Yes;;;;user-friendliness,offer;;
